peak_time_utc,peak_flow_cms,peak_probability,site_no
2024-05-16 07:45:00,111.0,0.8007453445168394,01203805
2024-05-27 21:15:00,96.9,0.7712503533656782,01203805
2024-05-30 09:15:00,113.0,0.7664278294135441,01203805
2024-06-30 15:45:00,1720.0,0.9839652497066622,01203805
2024-07-05 23:15:00,2120.0,0.9889102145723723,01203805
2024-07-18 00:30:00,156.0,0.5667143123861529,01203805
2024-08-10 05:30:00,291.0,0.8876993278237175,01203805
2024-08-18 16:30:00,4120.0,0.9789878719648344,01203805
2024-11-22 06:00:00,139.0,0.68753224716398,01203805
2024-12-11 23:15:00,283.0,0.9121420153561293,01203805
2024-12-19 04:45:00,106.0,0.7261458463027576,01203805
2025-01-01 04:00:00,281.0,0.8872895060583177,01203805
2025-02-01 01:45:00,84.4,0.6231481198047637,01203805
2025-02-25 19:00:00,90.0,0.5827195811529655,01203805
2025-02-27 20:30:00,117.0,0.7079146692820377,01203805
2023-09-25 17:15:00,1190.0,0.9716926567606405,01204000
2023-09-29 19:30:00,7520.0,0.9439013814620674,01204000
2023-10-02 11:45:00,550.0,0.6129784397466238,01204000
2023-10-07 21:45:00,1280.0,0.9618358185434924,01204000
2023-10-21 15:00:00,563.0,0.8196307363934355,01204000
2023-10-30 21:15:00,267.0,0.6964655964774742,01204000
2023-11-22 12:45:00,364.0,0.6170808516566195,01204000
2023-11-27 08:30:00,347.0,0.5344121884033634,01204000
2023-12-03 22:45:00,304.0,0.6406934321932636,01204000
2023-12-11 07:30:00,1390.0,0.9673393827406666,01204000
2023-12-18 14:45:00,5360.0,0.953815890469287,01204000
2023-12-21 15:30:00,450.0,0.5533279574862587,01204000
2023-12-24 19:45:00,278.0,0.5777874705955716,01204000
2023-12-28 11:45:00,2860.0,0.9686240953872653,01204000
2024-01-10 06:45:00,7380.0,0.9339163296977199,01204000
2024-01-13 10:45:00,1760.0,0.9777248925272262,01204000
2024-01-16 17:15:00,395.0,0.5523249834844574,01204000
2024-01-18 17:15:00,301.0,0.6218379980059556,01204000
2024-01-25 05:30:00,789.0,0.892343681410637,01204000
2024-01-28 13:00:00,967.0,0.98729285013119,01204000
2024-02-02 16:00:00,297.0,0.6528278222318322,01204000
2024-02-23 22:45:00,232.0,0.5039346426603428,01204000
2024-02-28 16:15:00,567.0,0.834510239652633,01204000
2024-03-03 00:45:00,717.0,0.8621753293135197,01204000
2024-03-07 04:45:00,2180.0,0.9735098054837265,01204000
2024-03-10 06:15:00,1890.0,0.9731218813187509,01204000
2024-03-14 16:00:00,308.0,0.6143549699917538,01204000
2024-03-23 22:45:00,2690.0,0.9685689234380361,01204000
