feature_id,return_period_2,return_period_5,return_period_10,return_period_25,return_period_50,return_period_100
19531616,146.94,208.03,248.48,299.58,337.49,375.13
19531696,171.45,265.15,327.18,405.57,463.71,521.43
18591758,180.66,283.88,352.22,438.56,502.62,566.21
18565921,161.17,299.66,391.35,507.21,593.16,678.47
22206103,258.23,445.0,568.66,724.91,840.82,955.87
21655896,317.94,555.26,712.39,910.93,1058.21,1204.41
19503182,464.02,802.37,1026.39,1309.43,1519.41,1727.84
18590656,564.41,963.06,1227.0,1560.49,1807.89,2053.46
19514640,911.27,1517.08,1918.18,2424.97,2800.94,3174.13
22273668,1128.23,1696.98,2073.53,2549.32,2902.28,3252.63
10581525,23.95,42.94,55.51,71.4,83.18,94.88
21654312,37.56,64.36,82.1,104.52,121.15,137.66
21655328,45.38,77.28,98.41,125.1,144.9,164.55
18565189,48.04,85.03,109.52,140.46,163.42,186.2
21655846,70.75,147.39,198.13,262.24,309.8,357.01
19534712,114.94,205.82,265.99,342.02,398.42,454.41
21655410,150.2,239.24,298.2,372.69,427.95,482.8
18566081,164.45,299.61,389.09,502.15,586.02,669.28
22271288,194.95,318.98,401.1,504.86,581.83,658.24
21655740,234.83,376.7,470.63,589.31,677.35,764.74
19533702,347.73,525.36,642.97,791.57,901.81,1011.23
19532014,378.89,589.01,728.12,903.89,1034.29,1163.73
18566317,451.31,699.32,863.52,1070.99,1224.91,1377.69
21658214,443.7,736.89,931.01,1176.28,1358.23,1538.85
19531956,571.48,920.12,1150.95,1442.61,1658.97,1873.74
19516502,723.97,1178.9,1480.1,1860.67,2143.0,2423.24
21655412,29.89,48.44,60.73,76.24,87.76,99.18
18566151,30.35,61.11,81.47,107.2,126.28,145.23
21654088,42.89,82.73,109.1,142.42,167.14,191.68
21654348,79.01,126.23,157.5,197.01,226.31,255.4
18566313,166.47,311.54,407.6,528.96,618.99,708.36
19518240,584.82,958.71,1206.26,1519.03,1751.06,1981.39
19518084,422.27,983.83,1355.63,1825.39,2173.9,2519.82
